quantile,x
0.5,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e0
0.5001,1.5707971019500693345250080977765318755565128210243473766864144320333046221080782134223978607335812236017711528846467004933587986571799788960213e-4
0.5002,3.1415988547893138679419354610735252267488649286015138313273178769063283199501263971048236975739493643856816938850756499699038380426799984632572e-4
0.5003,4.7124099091976249302783982769917898775007164294681285899283330708069147004522548773221104947580572163561100470248942696724026117035893256149773e-4
0.5004,6.2832349154364268578265528522619609441890564043770230025223266906546011235496250714428914042999024352282221449989142401473729578742562758348041e-4
0.5005,7.8540785231396951991426191996583378617248668696295218763679917778285282006784666664023101681527579768691507710493063388010466098088108780388394e-4
0.5006,9.4249453811052765251597392221032805522742184458313474785806210684524196920536108355451058503165280202246052590018669700531493429644253645570582e-4
0.5007,1.0995840137086609647690707264205360434807425992610139433408426235285860925210372610096606772111608935438135949213511765689965431141689572526831e-3
0.5008,1.2566767437584947428070227468248797302880753175314629502811651461715338557145450655975849428733835079656185897355772813516739183459964354951057e-3
0.5009,1.4137731927642177583937903533491873524741904716338622081322824260657946939389411140663287284285214599316001866544435547828598778458419320414673e-3
0.501,1.5708738250634339980083114645423082957794693299157545131500720435230249165847385485958472911862198332323203136404690659968595433989960467920994e-3
0.5011,1.7279791048065936822280017538659517161706416308806152411004035622770833613676736526311585094341558488465799672794932268272304789805058002150508e-3
0.5012,1.8850894959365130965056967304801092621318550133635077106102022544732932941755787224517554637206277760245832536638388712586883316829229140203465e-3
0.5013,2.0422054621679926199765532931683052583214117671972305642580656379661966675410096720877551004044470517059197153176523078254925458074912777554835e-3
0.5014,2.1993274669675421912977870701751589674665170457093435993066906043126376059428570691311802434992204742899120437170821766153196318060448591946286e-3
0.5015,2.3564559735332232902392802004033698806404923911588404601708659787723611911120701236562691732005824786975802418855881308901288309457030778283846e-3
0.5016,2.5135914447746163413686515625645802547866829050381006095023120332266188418370257562154711801596446508189384083476861220856784617617330664430160e-3
0.5017,2.6707343432929222623051670729593776396925639339230597282110627470793695251791507584247628043979241991444611643811961886521804870843651111217236e-3
0.5018,2.8278851313612066842769767477293601807895157313361857475561631720969393057575868130051233245711420382443978784208150366634574677656283368320843e-3
0.5019,2.9850442709047951677549155602519391448428190161833823041496317644371520549620055789663222536918608112726129966165216312831270201548046225850127e-3
0.502,3.1422122234818275214239574116218279410106485284515758945812741780390655873796618226200132094877880730461919867518023093337005967585015402812590e-3
0.5021,3.2993894502639791093778944778882121247007330525855517420322676704316845442338584074717035185427720411201510794649372271371356408769298685972918e-3
0.5022,3.4565764120173567998844932351511062781954789111408554133293261552481870614748848047592538439453098207875837432087968312168686625854428408570057e-3
0.5023,3.6137735690835769700769039521010316371983821680233180668299134103521417107921933753388901496438059752598250401734936690805401403347490602966953e-3
0.5024,3.7709813813610327351973679942152515566767264544668420867772696331467478874678151847028401140656974379018501387876618612946757668363305985451122e-3
0.5025,3.9282003082863573192677193720096627873101109269772628441410484729677746156420416581385953018529527846899857119328468746791450334245871822838424e-3
0.5026,4.0854308088160902270022712239156018152300817900983839873492076942169277123470690745170882688009223796704464286142296041543010890707648076313056e-3
0.5027,4.2426733414085526151215438806762466288277864244958934134159861159659994773070742177789090940827734156069142254542857807794627561154176485939322e-3
0.5028,4.3999283640059379956705932748567056929532927508388948664459210770839917047480638955382814995852581330474121843176765171689312726858619956012325e-3
0.5029,4.5571963340166241351827197017521106327637427274303646718955616077610332970199301581319415565170174925627105267498175476873754657250585327845519e-3
0.503,4.7144777082977117422332935006871229745561468890065168150832567809485589920964315193043877680928925961400169578350431372983159630061700122693926e-3
0.5031,4.8717729431377952627580286394526181320661421531062255635935601640030046760050666750801013169667994359408652401066786272056815032507882467857430e-3
0.5032,5.0290824942399708281052518556675074664708591691380009211662323034406335345983638308611793757944371884952701709293195234608131062915885352566691e-3
0.5033,5.1864068167050861257718593005426902625452864777383321875313082043735277230434051840495080213676356451231614670651093316324476503599810318209102e-3
0.5034,5.3437463650152366877346319423782736500554444936902368796435181249487002195411264810047673311766705144009177760255237005317927451206968010214274e-3
